code,name
"United States","United States"
"Canada","Canada"
"Albania","Albania"
"Algeria","Algeria"
"American","American Samoa"
"Andorra","Andorra"
"Angola","Angola"
"Anguilla","Anguilla"
"Antarctica","Antarctica"
"Antigua and Barbuda","Antigua and Barbuda"
"Argentina","Argentina"
"Armenia","Armenia"
"Aruba","Aruba"
"Australia","Australia"
"Austria","Austria"
"Azerbaijan","Azerbaijan"
"Bahamas","Bahamas"
"Bahrain","Bahrain"
"Bangladesh","Bangladesh"
"Barbados","Barbados"
"Belarus","Belarus"
"Belgium","Belgium"
"Belize","Belize"
"Benin","Benin"
"Bermuda","Bermuda"
"Bhutan","Bhutan"
"Bolivia","Bolivia"
"Bosnia-Herzegowina","Bosnia-Herzegovina"
"Botswana","Botswana"
"Bouvet Island","Bouvet Island"
"Brazil","Brazil"
"Brunei Darussalam","Brunei Darussalam"
"Bulgaria","Bulgaria"
"Burkina Faso","Burkina Faso"
"Burundi","Burundi"
"Cambodia","Cambodia"
"Cameroon","Cameroon"
"Cape Verde","Cape Verde"
"Cayman Islands","Cayman Islands"
"Chad","Chad"
"Chile","Chile"
"China","China"
"Christmas Island","Christmas Island"
"Colombia","Colombia"
"Comoros","Comoros"
"Congo","Congo"
"Cook Islands","Cook Islands"
"Costa Rica","Costa Rica"
"Cote d'Ivoire","Cote d'Ivoire"
"Croatia","Croatia"
"Cyprus","Cyprus"
"Czech Republic","Czech Republic"
"Denmark","Denmark"
"Djibouti","Djibouti"
"Dominica","Dominica"
"Dominican Republic","Dominican Republic"
"East Timor","East Timor"
"Ecuador","Ecuador"
"Egypt","Egypt"
"El Salvador","El Salvador"
"Equatorial Guinea","Equatorial Guinea"
"Eritrea","Eritrea"
"Estonia","Estonia"
"Ethiopia","Ethiopia"
"Falkland Islands","Falkland Islands"
"Faroe Islands","Faroe Islands"
"Fiji","Fiji"
"Finland","Finland"
"France","France"
"French Guiana","French Guiana"
"French Polynesia","French Polynesia"
"Gabon","Gabon"
"Gambia","Gambia"
"Georgia","Georgia"
"Germany","Germany"
"Ghana","Ghana"
"Gibraltar","Gibraltar"
"Greece","Greece"
"Greenland","Greenland"
"Grenada","Grenada"
"Guadeloupe","Guadeloupe"
"Guatemala","Guatemala"
"Guinea","Guinea"
"Guinea-Bissau","Guinea-Bissau"
"Guyana","Guyana"
"Haiti","Haiti"
"Honduras","Honduras"
"Hong Kong","Hong Kong"
"Hungary","Hungary"
"Iceland","Iceland"
"India","India"
"Indonesia","Indonesia"
"Ireland","Ireland"
"Israel","Israel"
"Italy","Italy"
"Jamaica","Jamaica"
"Japan","Japan"
"Jordan","Jordan"
"Kazakhstan","Kazakhstan"
"Kenya","Kenya"
"Kiribati","Kiribati"
"Korea (South)","Korea (South)"
"Korea, Republic of","Korea, Republic of"
"Kuwait","Kuwait"
"Kyrgyzstan","Kyrgyzstan"
"Laos","Laos"
"Latvia","Latvia"
"Lebanon","Lebanon"
"Lesotho","Lesotho"
"Liberia","Liberia"
"Liechtenstein","Liechtenstein"
"Lithuania","Lithuania"
"Luxembourg","Luxembourg"
"Macau","Macau"
"Macedonia","Macedonia"
"Madagascar","Madagascar"
"Malawi","Malawi"
"Malaysia","Malaysia"
"Maldives","Maldives"
"Mali","Mali"
"Malta","Malta"
"Marshall Islands","Marshall Islands"
"Martinique","Martinique"
"Mauritania","Mauritania"
"Mauritius","Mauritius"
"Mayotte","Mayotte"
"Mexico","Mexico"
"Micronesia","Micronesia"
"Moldova, Republic of","Moldova, Republic of"
"Monaco","Monaco"
"Mongolia","Mongolia"
"Montserrat","Montserrat"
"Morocco","Morocco"
"Mozambique","Mozambique"
"Myanmar","Myanmar"
"Namibia","Namibia"
"Nauru","Nauru"
"Nepal","Nepal"
"Netherlands","Netherlands"
"Netherlands Antilles","Netherlands Antilles"
"New Caledonia","New Caledonia"
"New Zealand","New Zealand"
"Nicaragua","Nicaragua"
"Niger","Niger"
"Nigeria","Nigeria"
"Niue","Niue"
"Norfolk Island","Norfolk Island"
"Norway","Norway"
"Oman","Oman"
"Pakistan","Pakistan"
"Palau","Palau"
"Panama","Panama"
"Papua New Guinea","Papua New Guinea"
"Paraguay","Paraguay"
"Peru","Peru"
"Philippines","Philippines"
"Pitcairn","Pitcairn"
"Poland","Poland"
"Portugal","Portugal"
"Qatar","Qatar"
"Reunion","Reunion"
"Romania","Romania"
"Russian Federation","Russian Federation"
"Rwanda","Rwanda"
"Saint Kitts and Nevis","Saint Kitts and Nevis"
"Saint Lucia","Saint Lucia"
"Samoa (Independent)","Samoa (Independent)"
"Sao Tome and Principe","Sao Tome and Principe"
"Saudi Arabia","Saudi Arabia"
"Senegal","Senegal"
"Seychelles","Seychelles"
"Sierra Leone","Sierra Leone"
"Singapore","Singapore"
"Slovakia","Slovakia"
"Slovenia","Slovenia"
"Solomon Islands","Solomon Islands"
"Somalia","Somalia"
"South Africa","South Africa"
"Spain","Spain"
"Sri Lanka","Sri Lanka"
"St. Helena","St. Helena"
"Suriname","Suriname"
"Swaziland","Swaziland"
"Sweden","Sweden"
"Switzerland","Switzerland"
"Taiwan","Taiwan"
"Tajikistan","Tajikistan"
"Tanzania","Tanzania"
"Thailand","Thailand"
"Togo","Togo"
"Tokelau","Tokelau"
"Tonga","Tonga"
"Trinidad and Tobago","Trinidad and Tobago"
"Tunisia","Tunisia"
"Turkey","Turkey"
